Higher Seed,Lower Seed,Higher Seed #,Lower Seed #,HS HCA?,Round,Games,Comeback,Champion Won,Finalist Won,Higher Seed Down 0-2,Year,Winner
BOS,CLE,1,2,Y,3,6,N,Y,Y,N,1976,BOS
BOS,BUF (LAC),1,5,Y,2,6,N,Y,Y,N,1976,BOS
GSW,WAS,1,2,N,4,4,N,Y,Y,N,1975,GSW
BOS,WAS,1,2,Y,3,6,N,N,Y,Y,1975,WAS
BOS,HOU,1,4,Y,2,5,N,N,N,N,1975,BOS
MIL,CHI,1,2,Y,3,4,N,N,Y,N,1974,MIL
BOS,NYK,1,2,Y,3,5,N,Y,Y,N,1974,BOS
MIL,LAL,1,4,Y,2,5,N,N,Y,N,1974,MIL
LAL,GSW,2,4,Y,3,5,N,N,Y,N,1973,LAL
NYK,BAL (WAS),2,3,Y,2,5,N,Y,Y,N,1973,NYK
BOS,ATL,1,4,Y,2,6,N,N,N,N,1973,BOS
LAL,CHI,2,3,Y,2,7,N,N,Y,N,1973,LAL
BOS,NYK,1,2,Y,3,5,N,N,Y,Y,1972,NYK
LAL,CHI,1,3,Y,2,4,N,Y,Y,N,1972,LAL
MIL,BAL (WAS),1,2,Y,4,4,N,Y,Y,N,1971,MIL
MIL,LAL,1,2,Y,3,5,N,Y,Y,N,1971,MIL
NYK,BAL (WAS),1,2,Y,3,7,Y,N,Y,N,1971,BAL (WAS)
MIL,SFW (GSW),1,4,Y,2,5,N,Y,Y,N,1971,MIL
LAL,CHI,2,3,Y,2,7,N,N,N,N,1971,LAL
ATL,LAL,1,2,Y,3,4,N,N,Y,Y,1970,LAL
NYK,MIL,1,2,Y,3,5,N,Y,Y,N,1970,NYK
ATL,CHI,1,3,Y,2,5,N,N,N,N,1970,ATL
NYK,BAL (WAS),1,3,Y,2,7,N,Y,Y,N,1970,NYK
LAL,BOS,1,4,Y,4,7,Y,Y,Y,N,1969,BOS
LAL,ATL,1,2,Y,3,5,N,N,Y,N,1969,LAL
NYK,BOS,3,4,Y,3,6,N,Y,Y,Y,1969,BOS
BAL (WAS),NYK,1,3,Y,2,4,N,N,N,Y,1969,NYK
PHI,BOS,2,4,Y,2,5,N,Y,Y,Y,1969,BOS
LAL,SFW (GSW),1,3,Y,2,6,Y,N,Y,Y,1969,LAL
ATL,SDR (HOU),2,4,Y,2,6,N,N,N,N,1969,ATL
LAL,SFW (GSW),2,3,Y,3,4,N,N,Y,N,1968,LAL
LAL,CHI,2,4,Y,2,5,N,N,Y,N,1968,LAL
PHI,SFW (GSW),1,1,Y,4,6,N,Y,Y,N,1967,PHI
PHI,BOS,1,2,Y,3,5,N,Y,Y,N,1967,PHI
SFW (GSW),STL (ATL),1,2,Y,3,6,N,N,Y,N,1967,SFW (GSW)
SFW (GSW),LAL,1,3,Y,2,3,N,N,Y,N,1967,SFW (GSW)
STL (ATL),CHI,2,4,Y,2,3,N,N,N,N,1967,STL (ATL)
BOS,NYK,2,4,Y,2,4,N,N,N,N,1967,BOS
PHI,BOS,1,2,Y,3,5,N,Y,Y,Y,1966,BOS
LAL,STL (ATL),1,3,Y,3,7,N,N,Y,N,1966,LAL
BAL (WAS),STL (ATL),2,3,Y,2,3,N,N,N,Y,1966,STL (ATL)
BOS,LAL,1,1,Y,4,5,N,Y,Y,N,1965,BOS
LAL,BAL (WAS),1,3,Y,3,6,N,N,Y,N,1965,LAL
BOS,SFW (GSW),1,1,Y,4,5,N,Y,Y,N,1964,BOS
BOS,CIN (SAC),1,2,Y,3,5,N,Y,Y,N,1964,BOS
STL (ATL),LAL,2,3,Y,2,5,N,N,N,N,1964,STL (ATL)
BOS,LAL,1,1,Y,4,6,N,Y,Y,N,1963,BOS
LAL,STL (ATL),1,2,Y,3,7,N,N,Y,N,1963,LAL
STL (ATL),DET,2,3,Y,2,4,N,N,N,N,1963,STL (ATL)
LAL,DET,1,3,Y,3,6,N,N,Y,N,1962,LAL
PHW (GSW),SYR (PHI),2,3,Y,2,5,N,N,N,N,1962,PHW (GSW)
BOS,STL (ATL),1,1,Y,4,5,N,Y,Y,N,1961,BOS
PHW (GSW),SYR (PHI),2,3,Y,2,3,N,N,N,Y,1961,SYR (PHI)
LAL,DET,2,3,Y,2,5,N,N,N,N,1961,LAL
BOS,MNL (LAL),1,2,Y,4,4,N,Y,Y,N,1959,BOS
BOS,PHW (GSW),1,3,Y,3,5,N,N,Y,N,1958,BOS
STL (ATL),DET,1,2,Y,3,5,N,Y,Y,N,1958,STL (ATL)
BOS,SYR (PHI),1,2,Y,3,3,N,Y,Y,N,1957,BOS
STL (ATL),MNL (LAL),1,2,Y,3,3,N,N,Y,N,1957,STL (ATL)
FTW (DET),STL (ATL),1,3,Y,3,5,Y,N,Y,Y,1956,FTW (DET)
SYR (PHI),FTW (DET),1,1,Y,4,7,N,Y,Y,N,1955,SYR (PHI)
SYR (PHI),BOS,1,3,Y,3,4,N,Y,Y,N,1955,SYR (PHI)
FTW (DET),MNL (LAL),1,2,Y,3,4,N,N,Y,N,1955,FTW (DET)
MNL (LAL),FTW (DET),1,3,Y,3,5,N,Y,Y,N,1953,MNL (LAL)
ROC (SAC),NYK,2,3,Y,4,7,N,Y,Y,N,1951,ROC (SAC)
WSC (WAS),MNL (LAL),1,2,N,4,6,N,Y,Y,Y,1949,MNL (LAL)
CHS,PHW (GSW),1,2,N,4,5,N,Y,Y,Y,1947,PHW (GSW)
WSC (WAS),CHS,1,1,Y,3,6,N,N,Y,Y,1947,CHS
