Higher Seed,Lower Seed,Higher Seed #,Lower Seed #,HS HCA?,Round,Games,Comeback,Champion Won,Finalist Won,Higher Seed Down 0-2,Year,Winner
CHI,MIL,3,6,Y,1,6,N,N,N,N,2015,CHI
SAS,OKC,1,2,Y,3,6,N,Y,Y,N,2014,SAS
SAS,POR,1,5,Y,2,5,N,Y,Y,N,2014,SAS
MIA,BRK,2,6,Y,2,5,N,N,Y,N,2014,MIA
MIA,CHA (bobcats),2,7,Y,1,4,N,N,Y,N,2014,MIA
CHI,WAS,4,5,Y,1,5,N,N,N,Y,2014,WAS
HOU,POR,4,5,Y,1,6,N,N,N,Y,2014,POR
SAS,MEM,2,5,Y,3,4,N,N,Y,N,2013,SAS
MIA,MIL,1,8,Y,1,4,N,Y,Y,N,2013,MIA
SAS,LAL,2,7,Y,1,4,N,N,Y,N,2013,SAS
OKC,HOU,1,8,Y,1,6,N,N,N,N,2013,OKC
NYK,BOS,2,7,Y,1,6,N,N,N,N,2013,NYK
IND,ATL,3,6,Y,1,6,N,N,N,N,2013,IND
LAC,MEM,4,5,Y,1,6,Y,N,N,N,2013,MEM
SAS,OKC,1,2,Y,3,6,Y,N,Y,N,2012,OKC
MIA,BOS,2,4,Y,3,7,N,Y,Y,N,2012,MIA
SAS,LAC,1,5,Y,2,4,N,N,N,N,2012,SAS
OKC,LAL,2,3,Y,1,5,N,N,Y,N,2012,OKC
SAS,UTA,1,8,Y,1,4,N,N,N,N,2012,SAS
OKC,DAL,2,7,Y,1,4,N,N,Y,N,2012,OKC
MIA,NYK,2,7,Y,1,5,N,Y,Y,N,2012,MIA
LAL,DEN,3,6,Y,1,7,N,N,N,N,2012,LAL
LAL,DAL,2,3,Y,2,4,N,Y,Y,Y,2011,DAL
MIA,BOS,2,3,Y,2,5,N,N,Y,N,2011,MIA
BOS,NYK,3,6,Y,1,4,N,N,N,N,2011,BOS
CHI,IND,1,8,Y,1,5,N,N,N,N,2011,CHI
MIA,PHI,2,7,Y,1,5,N,N,Y,N,2011,MIA
OKC,DEN,4,5,Y,1,5,N,N,N,N,2011,OKC
DAL,POR,3,6,Y,1,6,N,Y,Y,N,2011,DAL
LAL,PHO,1,3,Y,3,6,N,Y,Y,N,2010,LAL
ORL,BOS,2,4,Y,3,6,N,N,Y,Y,2010,BOS
LAL,UTA,1,5,Y,2,4,N,Y,Y,N,2010,LAL
ORL,ATL,2,3,Y,2,4,N,N,N,N,2010,ORL
PHO,SAS,3,7,Y,2,4,N,N,N,N,2010,PHO
ORL,CHA (bobcats),2,7,Y,1,4,N,N,N,N,2010,ORL
CLE,CHI,1,8,Y,1,5,N,N,N,N,2010,CLE
BOS,MIA,4,5,Y,1,5,N,N,Y,N,2010,BOS
LAL,OKC,1,8,Y,1,6,N,Y,Y,N,2010,LAL
ATL,MIL,3,6,Y,1,7,N,N,N,N,2010,ATL
LAL,ORL,1,3,Y,4,5,N,Y,Y,N,2009,LAL
CLE,ATL,1,4,Y,2,4,N,N,N,N,2009,CLE
DEN,DAL,2,6,Y,2,5,N,N,N,N,2009,DEN
CLE,DET,1,8,Y,1,4,N,N,N,N,2009,CLE
LAL,UTA,1,8,Y,1,5,N,Y,Y,N,2009,LAL
DEN,NOH (NOP),2,7,Y,1,5,N,N,N,N,2009,DEN
BOS,LAL,1,1,Y,4,6,N,Y,Y,N,2008,BOS
LAL,SAS,1,3,Y,3,5,N,N,Y,N,2008,LAL
DET,ORL,2,3,Y,2,5,N,N,N,N,2008,DET
LAL,UTA,1,4,Y,2,6,N,N,Y,N,2008,LAL
BOS,CLE,1,4,Y,2,7,N,Y,Y,N,2008,BOS
NOH (NOP),SAS,2,3,Y,2,7,Y,N,N,N,2008,SAS
LAL,DEN,1,8,Y,1,4,N,N,Y,N,2008,LAL
NOH (NOP),DAL,2,7,Y,1,5,N,N,N,N,2008,NOH (NOP)
SAS,PHO,3,6,Y,1,5,N,N,N,N,2008,SAS
ORL,TOR,3,6,Y,1,5,N,N,N,N,2008,ORL
UTA,HOU,4,5,Y,1,6,N,N,N,N,2008,UTA
CLE,WAS,4,5,Y,1,6,N,N,N,N,2008,CLE
BOS,ATL,1,8,Y,1,7,N,Y,Y,N,2008,BOS
CLE,SAS,2,3,N,4,4,N,Y,Y,Y,2007,SAS
SAS,UTA,3,4,Y,3,5,N,Y,Y,N,2007,SAS
DET,CLE,1,2,Y,3,6,Y,N,Y,N,2007,CLE
UTA,GSW,4,8,Y,2,5,N,N,N,N,2007,UTA
DET,CHI,1,5,Y,2,6,N,N,N,N,2007,DET
CLE,NJN (BKN),2,6,Y,2,6,N,N,Y,N,2007,CLE
DET,ORL,1,8,Y,1,4,N,N,N,N,2007,DET
CLE,WAS,2,7,Y,1,4,N,N,Y,N,2007,CLE
MIA,CHI,4,5,Y,1,4,N,N,N,Y,2007,CHI
PHO,LAL,2,7,Y,1,5,N,N,N,N,2007,PHO
UTA,HOU,4,5,Y,1,7,Y,N,N,Y,2007,UTA
MIA,DAL,2,4,N,4,6,Y,Y,Y,Y,2006,MIA
DET,CLE,1,4,Y,2,7,N,N,N,N,2006,DET
DAL,MEM,4,5,Y,1,4,N,N,Y,N,2006,DAL
DET,MIL,1,8,Y,1,5,N,N,N,N,2006,DET
DEN,LAC,3,6,Y,1,5,N,N,N,Y,2006,LAC
SAS,SAC,1,8,Y,1,6,N,N,N,N,2006,SAS
MIA,CHI,2,7,Y,1,6,N,Y,Y,N,2006,MIA
SAS,DET,2,2,Y,4,7,N,Y,Y,N,2005,SAS
PHO,SAS,1,2,Y,3,5,N,Y,Y,Y,2005,SAS
MIA,WAS,1,5,Y,2,4,N,N,N,N,2005,MIA
SAS,SEA (OKC),2,3,Y,2,6,N,Y,Y,N,2005,SAS
PHO,MEM,1,8,Y,1,4,N,N,N,N,2005,PHO
MIA,NJN (BKN),1,8,Y,1,4,N,N,N,N,2005,MIA
DET,PHI,2,7,Y,1,5,N,N,Y,N,2005,DET
SEA (OKC),SAC,3,6,Y,1,5,N,N,N,N,2005,SEA (OKC)
CHI,WAS,4,5,Y,1,6,Y,N,N,N,2005,WAS
DAL,HOU,4,5,Y,1,7,Y,N,N,Y,2005,DAL
IND,MIA,1,4,Y,2,6,N,N,N,N,2004,IND
LAL,SAS,2,3,N,2,6,Y,N,Y,Y,2004,LAL
NJN (BKN),DET,2,3,N,2,7,N,Y,Y,Y,2004,DET
IND,BOS,1,8,Y,1,4,N,N,N,N,2004,IND
NJN (BKN),NYK,2,7,Y,1,4,N,N,N,N,2004,NJN (BKN)
SAS,MEM,3,6,Y,1,4,N,N,N,N,2004,SAS
MIN,DEN,1,8,Y,1,5,N,N,N,N,2004,MIN
LAL,HOU,2,7,Y,1,5,N,N,Y,N,2004,LAL
SAC,DAL,4,5,Y,1,5,N,N,N,N,2004,SAC
MIA,NOH (NOP),4,5,Y,1,7,N,N,N,N,2004,MIA
DET,NJN (BKN),1,2,Y,3,4,N,N,Y,Y,2003,NJN (BKN)
SAS,LAL,1,5,Y,2,6,N,Y,Y,N,2003,SAS
DET,PHI,1,4,Y,2,6,N,N,N,N,2003,DET
NJN (BKN),BOS,2,6,Y,2,4,N,N,Y,N,2003,NJN (BKN)
SAC,UTA,2,7,Y,1,5,N,N,N,N,2003,SAC
PHI,NOH (NOP),4,5,Y,1,6,N,N,N,N,2003,PHI
DAL,POR,3,6,Y,1,7,N,N,N,N,2003,DAL
NJN (BKN),LAL,1,3,N,4,4,N,Y,Y,Y,2002,LAL
NJN (BKN),CHH (NOP),1,4,Y,2,5,N,N,Y,N,2002,NJN (BKN)
LAL,POR,3,6,Y,1,3,N,Y,Y,N,2002,LAL
DAL,MIN,4,5,Y,1,3,N,N,N,N,2002,DAL
DET,TOR,2,7,Y,1,5,N,N,N,N,2002,DET
BOS,PHI,3,6,Y,1,5,N,N,N,N,2002,BOS
SAS,LAL,1,2,Y,3,4,N,Y,Y,Y,2001,LAL
LAL,SAC,2,3,Y,2,4,N,Y,Y,N,2001,LAL
SAS,DAL,1,5,Y,2,5,N,N,N,N,2001,SAS
MIL,CHH (NOP),2,6,Y,2,7,N,N,N,N,2001,MIL
LAL,POR,2,7,Y,1,3,N,Y,Y,N,2001,LAL
MIA,CHH (NOP),3,6,Y,1,3,N,N,N,Y,2001,CHH (NOP)
SAS,MIN,1,8,Y,1,4,N,N,N,N,2001,SAS
MIL,ORL,2,7,Y,1,4,N,N,N,N,2001,MIL
UTA,DAL,4,5,Y,1,5,Y,N,N,N,2001,DAL
LAL,IND,1,1,Y,4,6,N,Y,Y,N,2000,LAL
IND,NYK,1,3,Y,3,6,N,N,Y,N,2000,IND
LAL,PHO,1,5,Y,2,5,N,Y,Y,N,2000,LAL
UTA,POR,2,3,N,2,5,N,N,N,Y,2000,POR
IND,PHI,1,5,Y,2,6,N,N,Y,N,2000,IND
MIA,DET,2,7,Y,1,3,N,N,N,N,2000,MIA
NYK,TOR,3,6,Y,1,3,N,N,N,N,2000,NYK
POR,MIN,3,6,Y,1,4,N,N,N,N,2000,POR
LAL,SAC,1,8,Y,1,5,N,Y,Y,N,2000,LAL
UTA,SEA (OKC),2,7,Y,1,5,N,N,N,N,2000,UTA
SAS,NYK,1,8,Y,4,5,N,Y,Y,N,1999,SAS
SAS,POR,1,2,Y,3,4,N,Y,Y,N,1999,SAS
SAS,LAL,1,4,Y,2,4,N,Y,Y,N,1999,SAS
IND,PHI,2,6,Y,2,4,N,N,N,N,1999,IND
ATL,NYK,4,8,Y,2,4,N,N,Y,Y,1999,NYK
POR,PHO,2,7,Y,1,3,N,N,N,N,1999,POR
IND,MIL,2,7,Y,1,3,N,N,N,N,1999,IND
LAL,HOU,4,5,Y,1,4,N,N,N,N,1999,LAL
ATL,DET,4,5,Y,1,5,N,N,N,N,1999,ATL
UTA,LAL,1,3,Y,3,4,N,N,Y,N,1998,UTA
CHI,IND,1,3,Y,3,7,N,Y,Y,N,1998,CHI
UTA,SAS,1,5,Y,2,5,N,N,Y,N,1998,UTA
IND,NYK,3,7,Y,2,5,N,N,N,N,1998,IND
CHI,NJN (BKN),1,8,Y,1,3,N,Y,Y,N,1998,CHI
LAL,POR,3,6,Y,1,4,N,N,N,N,1998,LAL
IND,CLE,3,6,Y,1,4,N,N,N,N,1998,IND
CHH (NOP),ATL,4,5,Y,1,4,N,N,N,N,1998,CHH (NOP)
CHI,UTA,1,1,Y,4,6,N,Y,Y,N,1997,CHI
CHI,MIA,1,2,Y,3,5,N,Y,Y,N,1997,CHI
UTA,HOU,1,3,Y,3,6,N,N,Y,N,1997,UTA
UTA,LAL,1,4,Y,2,5,N,N,Y,N,1997,UTA
CHI,WAS,1,8,Y,1,3,N,Y,Y,N,1997,CHI
UTA,LAC,1,8,Y,1,3,N,N,Y,N,1997,UTA
HOU,MIN,3,6,Y,1,3,N,N,N,N,1997,HOU
NYK,CHH (NOP),3,6,Y,1,3,N,N,N,N,1997,NYK
LAL,POR,4,5,Y,1,4,N,N,N,N,1997,LAL
MIA,ORL,2,7,Y,1,5,N,N,N,N,1997,MIA
CHI,SEA (OKC),1,1,Y,4,6,N,Y,Y,N,1996,CHI
CHI,ORL,1,2,Y,3,4,N,Y,Y,N,1996,CHI
SEA (OKC),UTA,1,3,Y,3,7,N,N,Y,N,1996,SEA (OKC)
SEA (OKC),HOU,1,5,Y,2,4,N,N,Y,N,1996,SEA (OKC)
CHI,NYK,1,5,Y,2,5,N,Y,Y,N,1996,CHI
ORL,ATL,2,6,Y,2,5,N,N,N,N,1996,ORL
CHI,MIA,1,8,Y,1,3,N,Y,Y,N,1996,CHI
ORL,DET,2,7,Y,1,3,N,N,N,N,1996,ORL
CLE,NYK,4,5,Y,1,3,N,N,N,Y,1996,NYK
SAS,PHO,2,7,Y,1,4,N,N,N,N,1996,SAS
UTA,POR,3,6,Y,1,5,N,N,N,N,1996,UTA
ORL,HOU,1,6,Y,4,4,N,Y,Y,Y,1995,HOU
ORL,IND,1,2,Y,3,7,N,N,Y,N,1995,ORL
SAS,HOU,1,6,Y,3,6,N,Y,Y,Y,1995,HOU
SAS,LAL,1,5,Y,2,6,N,N,N,N,1995,SAS
PHO,HOU,2,6,Y,2,7,Y,Y,Y,N,1995,HOU
SAS,DEN,1,8,Y,1,3,N,N,N,N,1995,SAS
PHO,POR,2,7,Y,1,3,N,N,N,N,1995,PHO
IND,ATL,2,7,Y,1,3,N,N,N,N,1995,IND
HOU,UTA,2,5,Y,3,5,N,Y,Y,N,1994,HOU
NYK,IND,2,5,Y,3,7,N,N,Y,N,1994,NYK
HOU,PHO,2,3,Y,2,7,Y,Y,Y,Y,1994,HOU
NYK,CHI,2,3,Y,2,7,N,N,Y,N,1994,NYK
UTA,DEN,5,8,Y,2,7,N,N,N,N,1994,UTA
PHO,GSW,3,6,Y,1,3,N,N,N,N,1994,PHO
CHI,CLE,3,6,Y,1,3,N,N,N,N,1994,CHI
ORL,IND,4,5,Y,1,3,N,N,N,Y,1994,IND
HOU,POR,2,7,Y,1,4,N,Y,Y,N,1994,HOU
NYK,NJN (BKN),2,7,Y,1,4,N,N,Y,N,1994,NYK
SEA (OKC),DEN,1,8,Y,1,5,Y,N,N,N,1994,DEN
PHO,CHI,1,2,Y,4,6,N,Y,Y,Y,1993,CHI
NYK,CHI,1,2,Y,3,6,Y,Y,Y,N,1993,CHI
CHI,CLE,2,3,Y,2,4,N,Y,Y,N,1993,CHI
NYK,CHH (NOP),1,5,Y,2,5,N,N,N,N,1993,NYK
PHO,SAS,1,5,Y,2,6,N,N,Y,N,1993,PHO
HOU,SEA (OKC),2,3,N,2,7,N,N,N,Y,1993,SEA (OKC)
CHI,ATL,2,7,Y,1,3,N,Y,Y,N,1993,CHI
NYK,IND,1,8,Y,1,4,N,N,N,N,1993,NYK
PHO,LAL,1,8,Y,1,5,Y,N,Y,Y,1993,PHO
POR,UTA,1,2,Y,3,6,N,N,Y,N,1992,POR
POR,PHO,1,4,Y,2,5,N,N,Y,N,1992,POR
UTA,SEA (OKC),2,6,Y,2,5,N,N,N,N,1992,UTA
CHI,MIA,1,8,Y,1,3,N,Y,Y,N,1992,CHI
BOS,IND,2,7,Y,1,3,N,N,N,N,1992,BOS
PHO,SAS,4,5,Y,1,3,N,N,N,N,1992,PHO
POR,LAL,1,8,Y,1,4,N,N,Y,N,1992,POR
CLE,NJN (BKN),3,6,Y,1,4,N,N,N,N,1992,CLE
UTA,LAC,2,7,Y,1,5,N,N,N,N,1992,UTA
CHI,DET,1,3,Y,3,4,N,Y,Y,N,1991,CHI
POR,UTA,1,5,Y,2,5,N,N,N,N,1991,POR
CHI,PHI,1,5,Y,2,5,N,Y,Y,N,1991,CHI
CHI,NYK,1,8,Y,1,3,N,Y,Y,N,1991,CHI
LAL,HOU,3,6,Y,1,3,N,N,Y,N,1991,LAL
MIL,PHI,4,5,Y,1,3,N,N,N,Y,1991,PHI
POR,SEA (OKC),1,8,Y,1,5,N,N,N,N,1991,POR
POR,PHO,3,5,Y,3,6,N,N,Y,N,1990,POR
DET,CHI,1,3,Y,3,7,N,Y,Y,N,1990,DET
DET,NYK,1,5,Y,2,5,N,Y,Y,N,1990,DET
PHI,CHI,2,3,N,2,5,N,N,N,Y,1990,CHI
SAS,POR,2,3,N,2,7,N,N,Y,Y,1990,POR
DET,IND,1,8,Y,1,3,N,Y,Y,N,1990,DET
SAS,DEN,2,7,Y,1,3,N,N,N,N,1990,SAS
POR,DAL,3,6,Y,1,3,N,N,Y,N,1990,POR
LAL,HOU,1,8,Y,1,4,N,N,N,N,1990,LAL
CHI,MIL,3,6,Y,1,4,N,N,N,N,1990,CHI
PHI,CLE,2,7,Y,1,5,N,N,N,N,1990,PHI
BOS,NYK,4,5,Y,1,5,Y,N,N,N,1990,NYK
DET,LAL,1,1,Y,4,4,N,Y,Y,N,1989,DET
LAL,PHO,1,3,Y,3,4,N,N,Y,N,1989,LAL
DET,MIL,1,5,Y,2,4,N,Y,Y,N,1989,DET
LAL,SEA (OKC),1,4,Y,2,4,N,N,Y,N,1989,LAL
DET,BOS,1,8,Y,1,3,N,Y,Y,N,1989,DET
LAL,POR,1,8,Y,1,3,N,N,Y,N,1989,LAL
NYK,PHI,2,7,Y,1,3,N,N,N,N,1989,NYK
UTA,GSW,2,7,Y,1,3,N,N,N,Y,1989,GSW
PHO,DEN,3,6,Y,1,3,N,N,N,N,1989,PHO
SEA (OKC),HOU,4,5,Y,1,4,N,N,N,N,1989,SEA (OKC)
LAL,DAL,1,3,Y,3,7,N,Y,Y,N,1988,LAL
BOS,ATL,1,4,Y,2,7,N,N,N,N,1988,BOS
LAL,SAS,1,8,Y,1,3,N,Y,Y,N,1988,LAL
BOS,NYK,1,8,Y,1,4,N,N,N,N,1988,BOS
DET,WAS,2,7,Y,1,5,N,N,Y,N,1988,DET
CHI,CLE,3,6,Y,1,5,N,N,N,N,1988,CHI
ATL,MIL,4,5,Y,1,5,N,N,N,N,1988,ATL
LAL,BOS,1,1,Y,4,6,N,Y,Y,N,1987,LAL
LAL,SEA (OKC),1,7,Y,3,4,N,Y,Y,N,1987,LAL
BOS,DET,1,3,Y,3,7,N,N,Y,N,1987,BOS
LAL,GSW,1,5,Y,2,5,N,Y,Y,N,1987,LAL
HOU,SEA (OKC),6,7,Y,2,6,N,N,N,Y,1987,SEA (OKC)
BOS,MIL,1,4,Y,2,7,N,N,Y,N,1987,BOS
LAL,DEN,1,8,Y,1,3,N,Y,Y,N,1987,LAL
BOS,CHI,1,8,Y,1,3,N,N,Y,N,1987,BOS
DET,WAS,3,6,Y,1,3,N,N,N,N,1987,DET
ATL,IND,2,7,Y,1,4,N,N,N,N,1987,ATL
UTA,GSW,4,5,Y,1,5,Y,N,N,N,1987,GSW
BOS,HOU,1,2,Y,4,6,N,Y,Y,N,1986,BOS
BOS,MIL,1,2,Y,3,4,N,Y,Y,N,1986,BOS
BOS,ATL,1,4,Y,2,5,N,Y,Y,N,1986,BOS
LAL,DAL,1,4,Y,2,6,N,N,N,N,1986,LAL
HOU,DEN,2,3,Y,2,6,N,N,Y,N,1986,HOU
BOS,CHI,1,8,Y,1,3,N,Y,Y,N,1986,BOS
LAL,SAS,1,8,Y,1,3,N,N,N,N,1986,LAL
MIL,NJN (BKN),2,7,Y,1,3,N,N,N,N,1986,MIL
HOU,SAC,2,7,Y,1,3,N,N,Y,N,1986,HOU
ATL,DET,4,5,Y,1,4,N,N,N,N,1986,ATL
DAL,UTA,4,5,Y,1,4,N,N,N,N,1986,DAL
BOS,PHI,1,3,Y,3,5,N,N,Y,N,1985,BOS
MIL,PHI,2,3,Y,2,4,N,N,N,Y,1985,PHI
LAL,POR,1,5,Y,2,5,N,Y,Y,N,1985,LAL
DEN,UTA,2,6,Y,2,5,N,N,N,N,1985,DEN
BOS,DET,1,4,Y,2,6,N,N,Y,N,1985,BOS
LAL,PHO,1,8,Y,1,3,N,Y,Y,N,1985,LAL
DET,NJN (BKN),4,5,Y,1,3,N,N,N,N,1985,DET
BOS,CLE,1,8,Y,1,4,N,N,Y,N,1985,BOS
MIL,CHI,2,7,Y,1,4,N,N,N,N,1985,MIL
PHI,WAS,3,6,Y,1,4,N,N,N,N,1985,PHI
BOS,MIL,1,2,Y,3,5,N,Y,Y,N,1984,BOS
LAL,PHO,1,6,Y,3,6,N,N,Y,N,1984,LAL
LAL,DAL,1,4,Y,2,5,N,N,Y,N,1984,LAL
BOS,NYK,1,5,Y,2,7,N,Y,Y,N,1984,BOS
LAL,KCK (SAC),1,8,Y,1,3,N,N,Y,N,1984,LAL
BOS,WAS,1,8,Y,1,4,N,Y,Y,N,1984,BOS
MIL,ATL,2,7,Y,1,5,N,N,N,N,1984,MIL
PHI,NJN (BKN),3,6,Y,1,5,N,N,N,Y,1984,NJN (BKN)
PHI,LAL,1,1,Y,4,4,N,Y,Y,N,1983,PHI
PHI,MIL,1,2,Y,3,5,N,Y,Y,N,1983,PHI
PHI,NYK,1,5,Y,2,4,N,Y,Y,N,1983,PHI
MIL,BOS,2,3,N,2,4,N,N,N,N,1983,MIL
LAL,POR,1,5,Y,2,5,N,N,Y,N,1983,LAL
SAS,DEN,2,6,Y,2,5,N,N,N,N,1983,SAS
LAL,SAS,1,2,Y,3,4,N,Y,Y,N,1982,LAL
LAL,PHO,1,5,Y,2,4,N,Y,Y,N,1982,LAL
MIL,PHI,2,3,N,2,6,N,N,Y,Y,1982,MIL
BOS,CHI,1,5,Y,2,4,N,Y,Y,N,1981,BOS
BOS,HOU,1,4,Y,2,4,N,N,N,N,1980,BOS
LAL,PHO,1,4,Y,2,5,N,Y,Y,N,1980,LAL
ATL,PHI,2,3,N,2,5,N,N,Y,Y,1980,PHI
SEA (OKC),PHO,1,3,Y,3,7,N,Y,Y,N,1979,SEA (OKC)
SEA (OKC),LAL,1,5,Y,2,5,N,Y,Y,N,1979,SEA (OKC)
SAS,PHI,2,3,Y,2,7,N,N,N,N,1979,SAS
PHI,NYK,1,5,Y,2,4,N,N,N,N,1978,PHI
DEN,MIL,2,6,Y,2,7,N,N,N,N,1978,DEN
PHI,POR,1,3,Y,4,6,Y,Y,Y,N,1977,POR
LAL,POR,1,3,Y,3,4,N,Y,Y,Y,1977,POR
PHI,HOU,1,2,Y,3,6,N,N,Y,N,1977,PHI
LAL,GSW,1,4,Y,2,7,N,N,N,N,1977,LAL
BOS,PHO,1,3,Y,4,6,N,Y,Y,N,1976,BOS
